Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_Generic_D12.2mm_H6.5mm,1,Buzzer,
"C1, C2, C4, C8, C9",0603,5,100nF,C14663
C3,0603,1,1uF,C15849
"C5, C6",0603,2,22pF,C1653
C7,0603,1,10uF,C96446
D1,0805,1,Buck 5V,C2297
D2,0603,1,STM32 3.3V,C2286
D3,0805,1,DEBUG,C2296
D4,0805,1,USB 5V,C2297
"H5, H6, H7",MountingHole_3.2mm_M3,3,MountingHole,
J1,SULLINS_SBH11-PBPC-D10-ST-BK_SOCKET,1,CONN_20_POS_KEYED_SOCKET,
J10,PinHeader_1x03_P2.54mm_Vertical,1,POWER,640456-3
J2,PinSocket_2x19_P2.54mm_Vertical,1,NUCLEO64_CN7,
J3,SULLINS_SBH11-PBPC-D05-ST-BK_SOCKET,1,JETSON_ORIN_NANO_DEVKIT_GPIO,
J4,PinSocket_1x03_P2.54mm_Vertical,1,5V Select Socket,640456-3
J6,PinSocket_2x19_P2.54mm_Vertical,1,NUCLEO64_CN10,
J7,PinHeader_1x03_P2.54mm_Vertical,1,I2C 1,640456-3
J8,PinHeader_1x03_P2.54mm_Vertical,1,I2C 3,640456-3
J9,PinHeader_1x03_P2.54mm_Vertical,1,UART,640456-3
JP1,Jumper_PinHeader_1x02_P2.54mm_Vertical_Bridged,1,BNO Jumper,
JP2,Jumper_PinHeader_1x02_P2.54mm_Vertical_Bridged,1,VSense1 Jumper,
JP3,Jumper_PinHeader_1x02_P2.54mm_Vertical_Bridged,1,VSense2 Jumper,
JP4,Jumper_PinHeader_1x02_P2.54mm_Vertical_Bridged,1,PCA Jumper,
JP7,Jumper_PinHeader_1x02_P2.54mm_Vertical_Bridged,1,VSense3 Jumper,
N1,Orion-Logo-20mm,1,ORION_LOGO,
"R1, R13, R14, R15, R16, R17, R2, R22, R23, R24, R25, R3, R4",0603,13,10k,C25804
"R10, R11, R12, R18, R19, R20, R21, R5, R6, R7, R8, R9",0603,12,220,C25804
"R26, R35",0603,2,470,C23179
"R27, R29, R33, R34",R_SS_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,4.7k,
"R28, R31",0603,2,75,C4275
TP1,TestPoint_Pad_5.0x5.0mm,1,5V PAD,
TP2,TestPoint_Pad_5.0x5.0mm,1,3.3V PAD,
TP3,TestPoint_Pad_5.0x5.0mm,1,GND PAD,
U1,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,C93216
"U2, U5, U6",Texas_RGV0016A_VQFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm_ThermalVias,3,INA3221,C181255
U3,DFR0753,1,DFR0753 5V BUCK,
U4,TSSOP-28_4MM,1,PCA9685_PWM_SERVO_DRIVER_IC,C2678753
Y1,CRYSTAL-SMD-3.2X1.5MM,1,32.768 kHz,C97606
