Designator,Mid X,Mid Y,Rotation,Layer
C1,127.5,-110.0,270.0,top
C2,136.5,-102.6,270.0,top
C3,134.0,-102.0,90.0,top
C4,131.75,-102.5,270.0,top
C5,135.5,-102.6,90.0,top
C6,132.25,-114.25,270.0,top
D1,148.2125,-90.0,180.0,top
D2,144.0,-90.0,0.0,top
D3,144.0275,-112.249998,0.0,top
D4,148.2775,-112.25,180.0,top
F1,131.75,-96.25,270.0,top
FB1,131.75,-99.75,270.0,top
J1,146.75,-102.5,90.0,top
J2,122.0,-102.3925,90.0,bottom
J3,134.5,-88.75,180.0,top
R1,127.5,-112.25,90.0,top
R10,130.75,-114.0,0.0,top
R11,133.75,-114.0,0.0,top
R2,127.5,-99.25,270.0,top
R3,127.5,-101.5,270.0,top
R4,150.51,-90.5,270.0,top
R5,141.5,-90.75,270.0,top
R6,141.25,-111.5,90.0,top
R7,151.0,-111.5,90.0,top
R8,128.25,-90.75,270.0,top
R9,128.25,-88.5,90.0,top
U1,134.5,-108.5,0.0,top
U2,134.5,-96.75,90.0,top
U3,140.75,-96.0,180.0,top
U4,140.75,-99.0,180.0,top
