Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C6",0402,4,100nF,C1525
C3,0805,1,4.7uF,C1779
C4,0402,1,10nF,C15195
D1,0603,1,3.3V,C2290
D2,0603,1,5V,C2286
D3,0805,1,TX,C2296
D4,0805,1,RX,C2297
F1,0603,1,6V 500mA Fuse,C883095
FB1,0805,1,100Ω@100MHz,C1015
J1,SAMTEC_FTSH-105-XX-X-DV,1,CORTEX_DEBUG_SWD_UART,C448647
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB C 2.0 Female,C165948
"R1, R2, R3",0402,3,100k,C25741
"R10, R11, R4",0402,3,100,C25076
"R5, R6, R7",0603,3,680,C23228
"R8, R9",0402,2,5k1,C25905
U1,SSOP-28_5.3x10.2mm_P0.65mm,1,FT232RL,C8690
U2,SOT-23-6,1,USBLC6-2SC6,C7519
"U3, U4",SOT-363_SC-70-6,2,LM66100,C2869734
