Designator,Footprint,Quantity,Value,LCSC Part #
BT1,PowerPad_Pair_5.0x5.0mm_2ndPadFlipped,1,2S_FRONT_LI-ION_BATT,
BT2,PowerPad_Pair_5.0x5.0mm_2ndPadFlipped,1,2S_BACK_LI-ION_BATT,
"C1, C2, C3, C4",CP_Radial_D8.0mm_P3.50mm,4,470uF_CAP,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad,4,MountingHole,
J1,JST_XH_1x03_P2.54mm_Vertical,1,2S_FRONT_BATTERY_BALANCE_HEADER,
J2,JST_XH_1x03_P2.54mm_Vertical,1,2S_BACK_BATTERY_BALANCE_HEADER,
J3,JST_XH_1x04_P2.54mm_Vertical,1,3S_BATTERY_BALANCE_HEADER,
J4,SULLINS_SBH11-PBPC-D10-ST-BK_SOCKET,1,CONN_20_POS_KEYED_SOCKET,
J5,LIPO_VOLTAGE_ALARM,1,2S_FRONT_LI-ION_VOLTAGE_ALARM,
J6,LIPO_VOLTAGE_ALARM,1,2S_BACK_LI-ION_VOLTAGE_ALARM,
J7,LIPO_VOLTAGE_ALARM,1,3S_LI-ION_VOLTAGE_ALARM,
N1,Orion-Logo-20mm,1,ORION_LOGO,
U1,Servo_PinHeader_3x06_P2.54mm_Vertical,1,FRONT_6x3_SERVO_HEADER_PIN,
U2,Servo_PinHeader_3x06_P2.54mm_Vertical,1,BACK_6x3_SERVO_HEADER_PIN,
