Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassis_link,-0.021069,1.7626E-05,-0.059532,0,0,0,1.2884,0.0031954,2.1753E-07,-2.4314E-06,0.0061634,-1.0229E-06,0.0084789,0,0,0,0,0,0,package://orion_urdf_rl/meshes/chassis_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/chassis_link.STL,,Part1^Main_Assembly_Urdf-1;Body_side-2;sunfounder_20kg_sized_for_dsservo-4;Body_Rear-1;Body_Top_Rear-1;sunfounder_20kg_sized_for_dsservo-3;Body_Front-1;5_5inch-hdmi-amoled-1;sunfounder_20kg_sized_for_dsservo-1;sunfounder_20kg_sized_for_dsservo-2;Lidar_Holder_Leg-2;Lidar_Camera_Holder-1;Lidar_Holder_Leg-1;Body_side-1;Camera_Holder-1,Lid_Coord,,lid_joint,fixed,0.01,0,0.1,0,0,0,chassis_link,0,0,0,,,,,,,,,,,,
lidar_link,-0.011935,0.00030729,-0.023703,0,0,0,0.073251,1.8129E-05,-3.1353E-07,3.2518E-07,2.395E-05,1.0718E-08,3.944E-05,0,0,0,0,0,0,package://orion_urdf_rl/meshes/lidar_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/lidar_link.STL,,RPLIDAR_A1M8-1,Lidar_Coord,Axis_lidar_joint,lidar_joint,fixed,0.10304797227565,-8.87688453378886E-05,0.0345,0,0,0,chassis_link,0,0,0,,,,,,,,,,,,
left_camera_link,-0.011101,-0.0048656,-0.0023316,0,0,0,0.0043213,6.3667E-07,-6.6725E-08,-3.0464E-08,2.5826E-07,-7.5648E-08,5.772E-07,0,0,0,0,0,0,package://orion_urdf_rl/meshes/left_camera_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/left_camera_link.STL,,Camera_Body1-1,Left_Camera_Coord,,left_camera_joint,fixed,0.17653,0.02985,-0.00265,0,0,0,chassis_link,0,0,0,,,,,,,,,,,,
right_camera_link,-0.011105,0.0048562,-0.0023281,0,0,0,0.0043257,6.3838E-07,6.6654E-08,-3.0413E-08,2.5786E-07,7.4392E-08,5.7943E-07,0,0,0,0,0,0,package://orion_urdf_rl/meshes/right_camera_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/right_camera_link.STL,,Camera_Body2-1,Right_Camera_Coord,,right_camera_joint,fixed,0.17653,-0.03025,-0.00265,0,0,0,chassis_link,0,0,0,,,,,,,,,,,,
front_left_link_1,0.011486,0.0010424,-0.0097839,0,0,0,0.10768,2.8302E-05,-5.708E-08,-2.9307E-07,3.4518E-05,1.1608E-08,2.6307E-05,0,0,0,0,0,0,package://orion_urdf_rl/meshes/front_left_link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/front_left_link_1.STL,,Leg_servo_holder-1;Leg_Assembly_Left-1/sunfounder_20kg_sized_for_dsservo-4;Leg_Assembly_Left-1/sunfounder_20kg_sized_for_dsservo-3,FL_J1_Coord,FL_J1_Axis,front_left_joint_1,revolute,0.10379030300648,0.0824500000000001,-0.0540925624189766,0,0,0,chassis_link,-1,0,0,10,1,-3.1416,3.1416,,,,,,,,
front_left_link_2,-0.045582,0.00046171,1.378E-05,0,0,0,0.062209,5.4377E-06,-5.2273E-07,-2.3854E-09,0.00010675,2.0042E-09,0.00010246,0,0,0,0,0,0,package://orion_urdf_rl/meshes/front_left_link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/front_left_link_2.STL,,Leg_Assembly_Left-1/Femur_Outside-2;Leg_Assembly_Left-1/Femur_Inside-2,FL_J2_Coord,FL_J2_Axis,front_left_joint_2,revolute,0,0.039298,0.000625,0,0,0,front_left_link_1,0,1,0,10,1,-3.1416,3.1416,,,,,,,,
front_left_link_3,0.0089822,-3.9694E-06,-0.057845,0,0,0,0.052056,9.5287E-05,-2.5356E-09,8.226E-06,9.7024E-05,1.9687E-08,4.7968E-06,0,0,0,0,0,0,package://orion_urdf_rl/meshes/front_left_link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/front_left_link_3.STL,,Leg_Assembly_Left-1/Tibia-2,FL_J3_Coord,FL_J3_Axis,front_left_joint_3,revolute,-0.1095,0,0,0,0,0,front_left_link_2,0,-1,0,10,1,-3.1416,3.1416,,,,,,,,
front_left_link_4,0.0061269,-7.9975E-07,0.0067623,0,0,0,0.0071989,1.0748E-06,-2.6819E-11,2.0226E-07,8.595E-07,-5.0959E-11,1.2028E-06,0,0,0,0,0,0,package://orion_urdf_rl/meshes/front_left_link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/front_left_link_4.STL,,Leg_Assembly_Left-1/Foot-2,FL_J4_Coord,Axis_front_left_joint_4,front_left_joint_4,fixed,-0.00241539800881991,0,-0.119811924362056,0,0,0,front_left_link_3,0,0,0,,,,,,,,,,,,
back_left_link_1,0.0094199,0.0010436,-0.0097838,0,0,0,0.10768,2.8302E-05,5.7045E-08,2.9302E-07,3.4518E-05,1.2596E-08,2.6307E-05,0,0,0,0,0,0,package://orion_urdf_rl/meshes/back_left_link_1.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/back_left_link_1.STL,,Leg_Assembly_Left-2/sunfounder_20kg_sized_for_dsservo-4;Leg_servo_holder-2;Leg_Assembly_Left-2/sunfounder_20kg_sized_for_dsservo-3,BL_J1_Coord,BL_J1_Axis,back_left_joint_1,revolute,-0.144705178168527,0.08275,-0.0540925624189766,-0.000120278924918832,0,0,chassis_link,1,0,0,10,1,-3.1416,3.1416,,,,,,,,
back_left_link_2,-0.045582,0.00046171,1.3835E-05,0,0,0,0.062209,5.4377E-06,-5.2273E-07,-2.4483E-09,0.00010675,2.5201E-09,0.00010246,0,0,0,0,0,0,package://orion_urdf_rl/meshes/back_left_link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/back_left_link_2.STL,,Leg_Assembly_Left-2/Femur_Outside-2;Leg_Assembly_Left-2/Femur_Inside-2,BL_J2_Coord,BL_J2_Axis,back_left_joint_2,revolute,0,0.0392976651289136,0.000629726685457487,0,0,0,back_left_link_1,0,1,0,10,1,-3.1416,3.1416,,,,,,,,
back_left_link_3,0.0089823,-3.8206E-06,-0.057844,0,0,0,0.052055,9.5285E-05,-2.4813E-09,8.2263E-06,9.7022E-05,2.0016E-08,4.7966E-06,0,0,0,0,0,0,package://orion_urdf_rl/meshes/back_left_link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/back_left_link_3.STL,,Leg_Assembly_Left-2/Tibia-2,BL_J3_Coord,BL_J3_Axis,back_left_joint_3,revolute,-0.1095,0,0,0.00012028,0,0,back_left_link_2,0,-1,0,10,1,-3.1416,3.1416,,,,,,,,
back_left_link_4,0.0061269,-7.9975E-07,0.0067623,0,0,0,0.0071989,1.0748E-06,-2.6819E-11,2.0226E-07,8.595E-07,-5.0959E-11,1.2028E-06,0,0,0,0,0,0,package://orion_urdf_rl/meshes/back_left_link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/back_left_link_4.STL,,Leg_Assembly_Left-2/Foot-2,BL_J4_Coord,,back_left_joint_4,fixed,-0.0024154,0,-0.11981,0,0,0,back_left_link_3,0,0,0,,,,,,,,,,,,
back_right_link_1,0.0094199,-0.0010424,-0.0097839,0,0,0,0.10768,2.8302E-05,-5.7081E-08,2.9307E-07,3.4518E-05,-1.1608E-08,2.6307E-05,0,0,0,0,0,0,package://orion_urdf_rl/meshes/back_right_link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/back_right_link_1.STL,,Leg_servo_holder-4;Leg_Assembly_Right-1/sunfounder_20kg_sized_for_dsservo-2;Leg_Assembly_Right-1/sunfounder_20kg_sized_for_dsservo-1,BR_J1_Coord,BR_J1_Axis,back_right_joint_1,revolute,-0.144705178168499,-0.08245,-0.0540925624189766,0,0,0,chassis_link,1,0,0,10,1,-3.1416,3.1416,,,,,,,,
back_right_link_2,-0.045582,-0.00046171,-1.378E-05,0,0,0,0.062209,5.4377E-06,5.2273E-07,2.3854E-09,0.00010675,2.0042E-09,0.00010246,0,0,0,0,0,0,package://orion_urdf_rl/meshes/back_right_link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/back_right_link_2.STL,,Leg_Assembly_Right-1/Femur_Outside-2;Leg_Assembly_Right-1/Femur_Inside-2,BR_J2_Coord,BR_J2_Axis,back_right_joint_2,revolute,0,-0.039297740587505,0.000624999999999695,0,0,0,back_right_link_1,0,-1,0,10,1,-3.1416,3.1416,,,,,,,,
back_right_link_3,0.0089816,3.7944E-06,-0.057848,0,0,0,0.05206,9.5293E-05,2.4747E-09,8.2246E-06,9.7031E-05,-2.0069E-08,4.7973E-06,0,0,0,0,0,0,package://orion_urdf_rl/meshes/back_right_link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/back_right_link_3.STL,,Leg_Assembly_Right-1/Tibia-1,BR_J3_Coord,BR_J3_Axis,back_right_joint_3,revolute,-0.1095,0,0,0,0,0,back_right_link_2,0,1,0,10,1,-3.1416,3.1416,,,,,,,,
back_right_link_4,0.0062016,-8.0137E-07,0.0066938,0,0,0,0.0071989,1.0793E-06,-2.7439E-11,2.0363E-07,8.595E-07,-5.0472E-11,1.1983E-06,0,0,0,0,0,0,package://orion_urdf_rl/meshes/back_right_link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/back_right_link_4.STL,,Leg_Assembly_Right-1/Foot-1,BR_J4_Coord,Axis_back_right_joint_4,back_right_joint_4,fixed,-0.00255555314355546,0,-0.119685144101967,0,0,0,back_right_link_3,0,0,0,,,,,,,,,,,,
front_right_link_1,0.011486,-0.0010424,-0.0097839,0,0,0,0.10768,2.8302E-05,5.708E-08,-2.9301E-07,3.4518E-05,-1.1608E-08,2.6307E-05,0,0,0,0,0,0,package://orion_urdf_rl/meshes/front_right_link_1.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/front_right_link_1.STL,,Leg_Assembly_Right-2/sunfounder_20kg_sized_for_dsservo-2;Leg_Assembly_Right-2/sunfounder_20kg_sized_for_dsservo-1;Leg_servo_holder-3,FR_J1_Coord,FR_J1_Axis,front_right_joint_1,revolute,0.103790303006509,-0.0827499999999999,-0.0540925624189766,0,0,0,chassis_link,-1,0,0,10,1,-3.1416,3.1416,,,,,,,,
front_right_link_2,-0.045582,-0.00046171,-1.378E-05,0,0,0,0.062209,5.4377E-06,5.2273E-07,2.3854E-09,0.00010675,2.0042E-09,0.00010246,0,0,0,0,0,0,package://orion_urdf_rl/meshes/front_right_link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/front_right_link_2.STL,,Leg_Assembly_Right-2/Femur_Outside-2;Leg_Assembly_Right-2/Femur_Inside-2,FR_J2_Coord,FR_J2_Axis,front_right_joint_2,revolute,0,-0.039297740587505,0.000624999999999272,0,0,0,front_right_link_1,0,-1,0,10,1,-3.1416,3.1416,,,,,,,,
front_right_link_3,0.0089816,3.7944E-06,-0.057848,0,0,0,0.05206,9.5293E-05,2.4747E-09,8.2246E-06,9.7031E-05,-2.0069E-08,4.7973E-06,0,0,0,0,0,0,package://orion_urdf_rl/meshes/front_right_link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/front_right_link_3.STL,,Leg_Assembly_Right-2/Tibia-1,FR_J3_Coord,FR_J3_Axis,front_right_joint_3,revolute,-0.1095,0,0,0,0,0,front_right_link_2,0,1,0,10,1,-3.1416,3.1416,,,,,,,,
front_right_link_4,0.0062016,-8.0137E-07,0.0066938,0,0,0,0.0071989,1.0793E-06,-2.7439E-11,2.0363E-07,8.595E-07,-5.0472E-11,1.1983E-06,0,0,0,0,0,0,package://orion_urdf_rl/meshes/front_right_link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/front_right_link_4.STL,,Leg_Assembly_Right-2/Foot-1,FR_J4_Coord,Axis_front_right_joint_4,front_right_joint_4,fixed,-0.00255555314355553,0,-0.119685144101968,0,0,0,front_right_link_3,0,0,0,,,,,,,,,,,,
lid_link,0.069069,-2.7518E-10,-0.0036319,0,0,0,0.47342,0.0012829,1.0139E-11,-3.115E-06,0.0014434,1.6249E-12,0.0026737,0,0,0,0,0,0,package://orion_urdf_rl/meshes/lid_link.STL,1,1,1,1,0,0,0,0,0,0,package://orion_urdf_rl/meshes/lid_link.STL,,Body_Top_Front-1,Lid_Coord,,lid_joint,fixed,0,0,0,0,0,0,chassis_link,0,0,0,,,,,,,,,,,,
