Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassis_link,0.094988,0.055488,0.18685,0,0,0,1.7618,0.0076067,1.0229E-06,2.1754E-07,0.011153,5.5464E-06,0.0044783,0,0,0,0,0,0,package://urdf_files/meshes/chassis_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_files/meshes/chassis_link.STL,,Part1^Main_Assembly_Urdf-1;Body_side-2;sunfounder_20kg_sized_for_dsservo-4;Body_Rear-1;Body_Top_Rear-1;Body_Top_Front-1;sunfounder_20kg_sized_for_dsservo-3;Body_Front-1;5_5inch-hdmi-amoled-1;sunfounder_20kg_sized_for_dsservo-1;sunfounder_20kg_sized_for_dsservo-2;Lidar_Holder_Leg-2;Lidar_Camera_Holder-1;Lidar_Holder_Leg-1;Body_side-1;Camera_Holder-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar_link,-0.0119350479531696,0.000307288333342148,-0.0237034037736488,0,0,0,0.073250981310004,1.8128998845544E-05,-3.13526454563248E-07,3.25184599826418E-07,2.39500119447556E-05,1.07178311997099E-08,3.94402515333502E-05,0,0,0,0,0,0,package://urdf_files/meshes/lidar_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://urdf_files/meshes/lidar_link.STL,,RPLIDAR_A1M8-1,Lidar_Coord,,lidar_joint,fixed,0.095089,-0.086952,0.1345,0,0,1.5708,chassis_link,0,0,0,,,,,,,,,,,,
left_camera_link,-0.0111008216308172,-0.00486557934820156,-0.00233164800673732,0,0,0,0.00432134882914042,6.3667195395667E-07,-6.67248837242982E-08,-3.04643954641623E-08,2.58264469780916E-07,-7.56477810351698E-08,5.77195159340918E-07,0,0,0,0,0,0,package://urdf_files/meshes/left_camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_files/meshes/left_camera_link.STL,,Camera_Body1-1,Left_Camera_Coord,,left_camera_joint,fixed,0.06515,-0.01347,0.09735,0,0,1.5708,chassis_link,0,0,0,,,,,,,,,,,,
right_camera_link,-0.0111049091631151,0.00485620504276883,-0.00232806156321748,0,0,0,0.00432566682914042,6.38382620493588E-07,6.66541110504295E-08,-3.0413074033386E-08,2.57863664348528E-07,7.43916759059245E-08,5.79434837125954E-07,0,0,0,0,0,0,package://urdf_files/meshes/right_camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_files/meshes/right_camera_link.STL,,Camera_Body2-1,Right_Camera_Coord,Axis_right_camera_joint,right_camera_joint,fixed,0.125249999999999,-0.0134698446791103,0.0973500000000002,0,0,1.5707963267949,chassis_link,0,0,0,,,,,,,,,,,,
front_left_link_1,0.0105930561645632,0.0010145990710685,-0.00972481417663442,0,0,0,0.110718199912909,2.8628168238556E-05,-5.71058764841331E-08,-2.87970680303836E-07,3.48167270320842E-05,1.64729742693072E-08,2.6350663583447E-05,0,0,0,0,0,0,package://urdf_files/meshes/front_left_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_files/meshes/front_left_link_1.STL,,Leg_servo_holder-1;servo_arm_25T-1;Leg_Assembly_Left-1/sunfounder_20kg_sized_for_dsservo-4;Leg_Assembly_Left-1/sunfounder_20kg_sized_for_dsservo-3,FL_J1_Coord,FL_J1_Axis,front_left_joint_1,revolute,0.01255,-0.08621,0.045907,0.0046679,0,1.5708,chassis_link,-1,0,0,0,0,0,0,,,,,,,,
front_left_link_2,-0.0387934692160751,-9.91793050274213E-05,-0.0203715766102188,0,0,0,0.0652435230220067,2.65332204461242E-05,-4.59124952893766E-07,-4.00601838438891E-05,0.000107079969926343,-2.39057261294725E-07,8.17110250947353E-05,0,0,0,0,0,0,package://urdf_files/meshes/front_left_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_files/meshes/front_left_link_2.STL,,Leg_Assembly_Left-1/Femur_Outside-2;Leg_Assembly_Left-1/Femur_Inside-2;Leg_Assembly_Left-1/servo_arm_25T-4,FL_J2_Coord,FL_J2_Axis,front_left_joint_2,revolute,0,0.0392977405875039,0.000624999999998176,0,0,0,front_left_link_1,0,1,0,0,0,0,0,,,,,,,,
front_left_link_3,0.055121167035341,-3.56574827875544E-06,-0.0346149226523069,0,0,0,0.0592549516376399,3.42735566883273E-05,-1.67694614521424E-08,4.27380313979956E-05,9.78844667303524E-05,1.05269347814568E-08,6.80881593093783E-05,0,0,0,0,0,0,package://urdf_files/meshes/front_left_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_files/meshes/front_left_link_3.STL,,Leg_Assembly_Left-1/Tibia-2;Leg_Assembly_Left-1/Foot-2,FL_J3_Coord,FL_J3_Axis,front_left_joint_3,revolute,-0.0969291533452484,0,-0.0509410368148641,0,0,0,front_left_link_2,0,-1,0,0,0,0,0,,,,,,,,
back_left_link_1,0.0103130499210686,0.00101307872268084,-0.00972481419504265,0,0,0,0.110718200835103,2.86281683421293E-05,5.70549959938513E-08,2.87912567034474E-07,3.48167271855928E-05,6.74291695045703E-09,2.63506637408382E-05,0,0,0,0,0,0,package://urdf_files/meshes/back_left_link_1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://urdf_files/meshes/back_left_link_1.STL,,Leg_Assembly_Left-2/sunfounder_20kg_sized_for_dsservo-4;servo_arm_25T-2;Leg_servo_holder-2;Leg_Assembly_Left-2/sunfounder_20kg_sized_for_dsservo-3,BL_J1_Coord,BL_J1_Axis,back_left_joint_1,revolute,0.01225,-0.33471,0.045907,0.0031593,0,1.5708,chassis_link,1,0,0,0,0,0,0,,,,,,,,
back_left_link_2,-0.0387934691994698,-9.91792980162692E-05,-0.0203715766001413,0,0,0,0.0652435231118066,2.65332204757146E-05,-4.5912494986711E-07,-4.00601838428752E-05,0.000107079969993396,-2.39057255785713E-07,8.17110251194175E-05,0,0,0,0,0,0,package://urdf_files/meshes/back_left_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_files/meshes/back_left_link_2.STL,,Leg_Assembly_Left-2/Femur_Outside-2;Leg_Assembly_Left-2/Femur_Inside-2;Leg_Assembly_Left-2/servo_arm_25T-4,BL_J2_Coord,BL_J2_Axis,back_left_joint_2,revolute,0,0.0392977405875028,0.000624999999996156,0,0,0,back_left_link_1,0,1,0,0,0,0,0,,,,,,,,
back_left_link_3,0.0551211670696044,-3.56448346074817E-06,-0.0346149226402852,0,0,0,0.0592549511706032,3.42735562461687E-05,-1.67704863017925E-08,4.2738030923107E-05,9.78844656479831E-05,1.05286414425801E-08,6.80881587871283E-05,0,0,0,0,0,0,package://urdf_files/meshes/back_left_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_files/meshes/back_left_link_3.STL,,Leg_Assembly_Left-2/Tibia-2;Leg_Assembly_Left-2/Foot-2,BL_J3_Coord,BL_J3_Axis,back_left_joint_3,revolute,-0.0969291533452488,0,-0.0509410368148632,0,0,0,back_left_link_2,0,-1,0,0,0,0,0,,,,,,,,
