Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassis_link,-0.011069,1.7626E-05,0.040468,0,0,0,1.2884,0.0031954,2.1753E-07,-2.4314E-06,0.0061634,-1.0229E-06,0.0084789,0,0,0,0,0,0,package://urdf_files_v3/meshes/chassis_link.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_files_v3/meshes/chassis_link.STL,,Part1^Main_Assembly_Urdf-1;Body_side-2;sunfounder_20kg_sized_for_dsservo-4;Body_Rear-1;Body_Top_Rear-1;sunfounder_20kg_sized_for_dsservo-3;Body_Front-1;5_5inch-hdmi-amoled-1;sunfounder_20kg_sized_for_dsservo-1;sunfounder_20kg_sized_for_dsservo-2;Lidar_Holder_Leg-2;Lidar_Camera_Holder-1;Lidar_Holder_Leg-1;Body_side-1;Camera_Holder-1,Chassis_J0_Coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar_link,-0.011935,0.00030729,-0.023703,0,0,0,0.073251,1.8129E-05,-3.1353E-07,3.2518E-07,2.395E-05,1.0718E-08,3.944E-05,0,0,0,0,0,0,package://urdf_files_v3/meshes/lidar_link.STL,0.31,0.31,0.31,1,0,0,0,0,0,0,package://urdf_files_v3/meshes/lidar_link.STL,,RPLIDAR_A1M8-1,Lidar_Coord,,lidar_joint,fixed,0.11305,-8.8769E-05,0.1345,0,0,0,chassis_link,0,0,0,,,,,,,,,,,,
left_camera_link,-0.011101,-0.0048656,-0.0023316,0,0,0,0.0043213,6.3667E-07,-6.6725E-08,-3.0464E-08,2.5826E-07,-7.5648E-08,5.772E-07,0,0,0,0,0,0,package://urdf_files_v3/meshes/left_camera_link.STL,0.31,0.31,0.31,1,0,0,0,0,0,0,package://urdf_files_v3/meshes/left_camera_link.STL,,Camera_Body1-1,Left_Camera_Coord,,left_camera_joint,fixed,0.18653,0.02985,0.09735,0,0,0,chassis_link,0,0,0,,,,,,,,,,,,
right_camera_link,-0.011105,0.0048562,-0.0023281,0,0,0,0.0043257,6.3838E-07,6.6654E-08,-3.0413E-08,2.5786E-07,7.4392E-08,5.7943E-07,0,0,0,0,0,0,package://urdf_files_v3/meshes/right_camera_link.STL,0.31,0.31,0.31,1,0,0,0,0,0,0,package://urdf_files_v3/meshes/right_camera_link.STL,,Camera_Body2-1,Right_Camera_Coord,,right_camera_joint,fixed,0.18653,-0.03025,0.09735,0,0,0,chassis_link,0,0,0,,,,,,,,,,,,
front_left_link_1,0.010593,0.0010146,-0.0097248,0,0,0,0.11072,2.8628E-05,-5.7106E-08,-2.8797E-07,3.4817E-05,1.6473E-08,2.6351E-05,0,0,0,0,0,0,package://urdf_files_v3/meshes/front_left_link_1.STL,0.84,0.84,0.84,1,0,0,0,0,0,0,package://urdf_files_v3/meshes/front_left_link_1.STL,,Leg_servo_holder-1;servo_arm_25T-1;Leg_Assembly_Left-1/sunfounder_20kg_sized_for_dsservo-4;Leg_Assembly_Left-1/sunfounder_20kg_sized_for_dsservo-3,FL_J1_Coord,FL_J1_Axis,front_left_joint_1,revolute,0.113790303006481,0.0824500000000011,0.0459074375810237,0.00466787437143287,0,0,chassis_link,-1,0,0,10,1,-3.1416,3.1416,,,,,,,,
front_left_link_2,-0.038793,-9.9179E-05,-0.020372,0,0,0,0.065244,2.6533E-05,-4.5912E-07,-4.006E-05,0.00010708,-2.3906E-07,8.1711E-05,0,0,0,0,0,0,package://urdf_files_v3/meshes/front_left_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_files_v3/meshes/front_left_link_2.STL,,Leg_Assembly_Left-1/Femur_Outside-2;Leg_Assembly_Left-1/Femur_Inside-2;Leg_Assembly_Left-1/servo_arm_25T-4,FL_J2_Coord,FL_J2_Axis,front_left_joint_2,revolute,0,0.0392977405875036,0.000624999999999681,0,0,0,front_left_link_1,0,1,0,10,1,-3.1416,3.1416,,,,,,,,
front_left_link_3,0.050353,-3.9729E-06,-0.029856,0,0,0,0.052056,3.3321E-05,-1.6828E-08,4.2839E-05,9.7025E-05,1.0572E-08,6.6763E-05,0,0,0,0,0,0,package://urdf_files_v3/meshes/front_left_link_3.STL,1,0.45,0.03,1,0,0,0,0,0,0,package://urdf_files_v3/meshes/front_left_link_3.STL,,Leg_Assembly_Left-1/Tibia-2,FL_J3_Coord,FL_J3_Axis,front_left_joint_3,revolute,-0.0969291533452496,0,-0.0509410368148619,0,0,0,front_left_link_2,0,-1,0,10,1,-3.1416,3.1416,,,,,,,,
back_left_link_1,0.010313,0.0010131,-0.0097248,0,0,0,0.11072,2.8628E-05,5.7055E-08,2.8791E-07,3.4817E-05,6.7429E-09,2.6351E-05,0,0,0,0,0,0,package://urdf_files_v3/meshes/back_left_link_1.STL,0.84,0.84,0.84,1,0,0,0,0,0,0,package://urdf_files_v3/meshes/back_left_link_1.STL,,Leg_Assembly_Left-2/sunfounder_20kg_sized_for_dsservo-4;servo_arm_25T-2;Leg_servo_holder-2;Leg_Assembly_Left-2/sunfounder_20kg_sized_for_dsservo-3,BL_J1_Coord,BL_J1_Axis,back_left_joint_1,revolute,-0.134705178168527,0.082750000000001,0.0459074375810237,0.00315930390260669,0,0,chassis_link,1,0,0,10,1,-3.1416,3.1416,,,,,,,,
back_left_link_2,-0.038793,-9.9179E-05,-0.020372,0,0,0,0.065244,2.6533E-05,-4.5912E-07,-4.006E-05,0.00010708,-2.3906E-07,8.1711E-05,0,0,0,0,0,0,package://urdf_files_v3/meshes/back_left_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_files_v3/meshes/back_left_link_2.STL,,Leg_Assembly_Left-2/Femur_Outside-2;Leg_Assembly_Left-2/Femur_Inside-2;Leg_Assembly_Left-2/servo_arm_25T-4,BL_J2_Coord,BL_J2_Axis,back_left_joint_2,revolute,0,0.0392977405875036,0.000624999999999577,0,0,0,back_left_link_1,0,1,0,10,1,-3.1416,3.1416,,,,,,,,
back_left_link_3,0.050353,-3.9716E-06,-0.029856,0,0,0,0.052056,3.3321E-05,-1.6829E-08,4.2839E-05,9.7025E-05,1.0574E-08,6.6763E-05,0,0,0,0,0,0,package://urdf_files_v3/meshes/back_left_link_3.STL,1,0.45,0.03,1,0,0,0,0,0,0,package://urdf_files_v3/meshes/back_left_link_3.STL,,Leg_Assembly_Left-2/Tibia-2,BL_J3_Coord,BL_J3_Axis,back_left_joint_3,revolute,-0.0969291533452496,0,-0.0509410368148617,0,0,0,back_left_link_2,0,-1,0,10,1,-3.1416,3.1416,,,,,,,,
back_right_link_1,0.010313,-0.0010146,-0.0097248,0,0,0,0.11072,2.8628E-05,-5.7106E-08,2.8797E-07,3.4817E-05,-1.6473E-08,2.6351E-05,0,0,0,0,0,0,package://urdf_files_v3/meshes/back_right_link_1.STL,0.84,0.84,0.84,1,0,0,0,0,0,0,package://urdf_files_v3/meshes/back_right_link_1.STL,,Leg_servo_holder-4;Leg_Assembly_Right-1/sunfounder_20kg_sized_for_dsservo-2;Leg_Assembly_Right-1/sunfounder_20kg_sized_for_dsservo-1;servo_arm_25T-4,BR_J1_Coord,BR_J1_Axis,back_right_joint_1,revolute,-0.134705178168499,-0.0824499999999989,0.0459074375810237,-0.0253401254512525,0,0,chassis_link,1,0,0,10,1,-3.1416,3.1416,,,,,,,,
